graph,K,init,seed,qe_geo_finite,finite_fraction,purity,nmi,ari,perplexity
euclidean,32,kpp,42,1173842.25,0.9685,0.6695,0.5346720091106837,0.4061125394359732,11.288910191925781
euclidean,32,random,42,932640.0,0.9663,0.7388,0.5247994707518382,0.35169804892784096,25.23291568420582
euclidean,64,kpp,42,934641.875,0.97,0.773,0.5427957107714063,0.3658724676570971,24.92962800893292
euclidean,64,random,42,670418.75,0.9663,0.7966,0.5229289341389924,0.21555653579472223,49.657141447578425
euclidean,128,kpp,42,701874.5625,0.9739,0.8147,0.5357299352664032,0.2546634509051675,50.95814973997386
euclidean,128,random,42,517637.9375,0.9664,0.8115,0.4963832636752105,0.12654310033417812,96.21870352511394
